# Table S2. List of the probable timing errors,,,,,,,,,,
# Station code,Pair ID,CC,dt residual (s),dt measurement (s),Correction for instrument change (s),Prediction from relative relocation (s),"""Timing quality"" of the earlier event","""Timing quality"" of the later event","""GSN timing"" of the earlier event","""GSN timing"" of the later event"
AF.HVD,2010078_2015198,0.907,-0.0329,-2.825,0,-2.7921,99.9535,99.9376,N/A,N/A
AF.ZOMB,2010273_2015203,0.902,0.0838,3.403,0,3.3193,N/A,N/A,N/A,N/A
AK.COLD,2007087_2016287,0.901,0.0361,-0.567,0,-0.6031,N/A,N/A,N/A,N/A
AK.DIV,2006109_2017186,0.909,0.3385,-3.544,0,-3.8825,N/A,N/A,N/A,N/A
AK.FIB,2008019_2011238,0.938,-0.0311,0.098,0,0.1291,N/A,N/A,N/A,N/A
AK.KTH,2006347_2008063,0.994,0.0742,-0.418,0,-0.4922,N/A,N/A,N/A,N/A
AK.SAW,2004366_2005204,0.933,-0.1631,-0.206,0,-0.0429,N/A,N/A,N/A,N/A
AK.SAW,2005044_2005204,0.935,-0.1629,-0.259,0,-0.0961,N/A,N/A,N/A,N/A
AK.SAW,2005204_2010273,0.909,0.1580,-0.508,0,-0.6660,N/A,N/A,N/A,N/A
AK.SAW,2005204_2015203,0.944,0.1676,2.816,0,2.6484,N/A,N/A,N/A,N/A
AK.SAW,2009104_2015179,0.961,-0.1185,-0.772,0,-0.6535,N/A,N/A,N/A,N/A
AK.TNA,2005031_2009066,0.993,0.9994,-0.326,0,-1.3254,N/A,N/A,N/A,N/A
AK.TRF,2003284_2009066,0.933,-0.5832,-2.279,0,-1.6958,N/A,N/A,N/A,N/A
AK.TRF,2004028_2017030,0.969,-0.2458,3.349,0,3.5948,N/A,N/A,N/A,N/A
AK.TRF,2004133_2014275,0.989,5.4397,6.160,0,0.7203,N/A,N/A,N/A,N/A
AK.TRF,2004143_2009192,0.991,-0.5806,-0.719,0,-0.1384,N/A,N/A,N/A,N/A
AK.TRF,2004247_2009065,0.957,-0.5969,0.422,0,1.0189,N/A,N/A,N/A,N/A
AK.TRF,2005031_2009066,0.951,-0.5930,-1.918,0,-1.3250,N/A,N/A,N/A,N/A
AK.TRF,2005069_2009186,0.983,-0.5840,-0.090,0,0.4940,N/A,N/A,N/A,N/A
AK.TRF,2009054_2016245,0.989,0.5862,-0.271,0,-0.8572,N/A,N/A,N/A,N/A
AK.TRF,2009104_2015179,0.975,0.5816,-0.072,0,-0.6536,N/A,N/A,N/A,N/A
AK.TRF,2009192_2012169,0.987,0.5858,4.079,0,3.4932,N/A,N/A,N/A,N/A
AK.TRF,2009254_2017123,0.931,0.5919,0.435,0,-0.1569,N/A,N/A,N/A,N/A
AT.TTA,2011119_2011205,0.949,-0.2111,-0.062,0,0.1491,N/A,N/A,N/A,N/A
AT.TTA,2011141_2017050,0.962,-0.1544,-1.712,0,-1.5576,N/A,N/A,N/A,N/A
AT.TTA,2013170_2017186,0.987,2.8890,3.311,0,0.4220,N/A,N/A,N/A,N/A
AU.ARMA,2004361_2005044,0.930,0.2467,0.024,0,-0.2227,N/A,N/A,N/A,N/A
